address,phone,gps_coordinates,name
"C/ Esparteros, nº 1, Madrid, 28012",91 532 45 72,"40.4163611, -3.7049219",Puerta del Sol
"C/ Montera, nº 47, Madrid, 28013",91 531 37 11,"40.419738, -3.7018893",Montera
"Calle Alcalá 18, Madrid, 28014",Unavailable,"40.4176374, -3.6991939",Alcalá Canalejas
"Plaza de Isabel II, nº 1, Madrid, 28013",91 559 39 61,"40.4177145, -3.7092233",Plaza Isabel II
"C/ Gran Vía, nº 52, Madrid, 28013",(91) 547.99.09,"40.4212531, -3.7067257",Gran Vía
"Calle Fuencarral 103, Madrid, 28004",914457594,"40.42829390000001, -3.7022263",Fuencarral Glorieta
"C/ Princesa, nº 3, Madrid, 28008",91 542 44 06,"40.4250332, -3.7134458",Princesa
"C/ Atocha, 127 Hotel Nacional, Madrid, 28012",91 369 35 69,"40.409946, -3.692725799999999",Atocha
"Centro Comercial Príncipe Pío Paseo de la Florida, nº 2 Local G53,F6, Madrid, 28008",91 547 01 08,"40.4221538, -3.7205879",Príncipe Pío
"C/ Isaac Peral, nº 4, Madrid, 28015",91 544 38 12,"40.4349613, -3.7180652",Moncloa
"Calle Alcalá 149 y Calle Goya 70, Madrid, 28009",Unavailable,"40.4245791, -3.6765915",Goya
"Glorieta de Cuatro Caminos, nº 5, Madrid, 28020",91 553 99 79,"40.44746629999999, -3.7042083",Cuatro Caminos
"Avda. Albufera 1 esquina Peña Prieta, Madrid, 28038",Unavailable,"40.3983467, -3.6687014",Madrid Albufera
"C/ Manuel Machado, nº6 y C/ Alcalde Luis Marichalar, Madrid, 28030",91 439 92 50,"40.4114283, -3.6587167",Moratalaz
"C/ La Oca, 105 - Glorieta del Ejército Carabanchel, Madrid, 28025",91 525 17 20,"40.3878328, -3.7444099",Carabanchel
"Av. ALBERTO ALCOCER, 37, Madrid, 28016",91 434 63 22 / 639 529 939,"40.45885639999999, -3.6815579",Alberto Alcocer
"Avenida de los Poblados, nº 118 Junto a Gasolinera Cepsa, Madrid, 28054",915116050,"40.373, -3.725611",Avenida de los Poblados
"Centro Comercial Madrid-Sur Avda. Pablo Neruda, 91-97 (Vallecas), Madrid, 28018",91 785 03 40,"40.3813158, -3.6634111",Madrid-Sur
"Avda. de Andalucía, 19, Madrid, 28041",913766227,"40.3658743, -3.6938057",Avenida de Andalucía
"Centro Comercial Alcampo Avda. Pío XII, nº 2, Madrid, 28016",91 350 21 91,"40.46304110000001, -3.6750723",CC. Alcampo Pío XII
"C/ Alcalá, nº 396, Madrid, 28027",91 377 14 64,"40.4365124, -3.6401872",Alcalá
"C/ San Aquilino, 4 Local 1A, Madrid, 28029",91 323 47 81,"40.4652422, -3.6902798",Plaza Castilla
"Centro Comercial Carrefour Los Angeles, Avda. de Andalucía, km 7.1, Madrid, 28041",913 699 406,"40.363308, -3.6921066",Pryca Los Angeles
"Centro Comercial Madrid 2 - La Vaguada Avda. Monforte de Lemos, s/n, Madrid, 28029",917300234,"40.4799938, -3.707478",C.C. La Vaguada
"Centro Comercial Las Rosas Avda. de Guadalajara, nº 2 San Blas, Madrid, 28032",91 313 44 27,"40.418729, -3.6209714",San Blas
"Paseo de la Castellana, nº 261, Madrid, 28046",91 358 13 94,"40.4811633, -3.6873983",Hospital La Paz
"San Romualdo, 22, Madrid, 28037",Unavailable,"40.4395173, -3.6224333",San Romualdo
"Avenida de la Peseta, 6, Madrid, 28054",91 508 24 31,"40.3681576, -3.7657302",Carabanchel Repsol
"Avda. Albufera esquina Bruno Abúndez, Madrid, 28031",918057092,"40.3836162, -3.6317591",Vallecas Villa
"Centro Comercial Palacio de Hielo C/ Silvano nº77, Planta Alta, L-A16, Madrid, 28043",91-3883668,"40.4630751, -3.6368919",Palacio de Hielo
"C/Edgar Neville, s/n (frente a Cines) Ciudad de la Imagen, Pozuelo de Alarcón, 28223",91 512 08 64,"40.3939638, -3.7964898",Kinépolis
"Avda. de los Andes, 46 Campo de las Naciones Hortaleza, Madrid, 28042",91 320 91 96,"40.4554656, -3.6164834",Hortaleza
"Centro Comercial Parquesur Avda. de Gran Bretaña s/n, Leganés, 28916",91 685 00 33,"40.3402272, -3.7330555",Parquesur
"Av. Puerta del Sol, 2, Leganés, 28918",914966357,"40.3447756, -3.758615",Leganes Plaza Nueva
"C/ Monasterio de Suso y Yuso s/n esq. Avda. Montecarmelo, Madrid, 28049",911720006,"40.5015255, -3.6973674",Montecarmelo
"Avda. Real de Arganda, s/n esq. Peñaranda de Bracamonte, Madrid, 28031",913852450,"40.3688763, -3.6094419",Vallecas Santa Eugenia
"C/ Rafael Boti s/n Junto a Hipercor Pozuelo Aravaca, Pozuelo de Alarcón, 28023",91 372 84 71,"40.4631759, -3.8032289",Pozuelo Hipercor
"C/ Abetal, nº 8 Las Tablas, Madrid, 28050",917188448,"40.5022585, -3.6631183",Las Tablas Repsol
"Avda. Lengua Española, nº15 Estación de Servicio BP, Leganés, 28915",91 680 13 06,"40.3312259, -3.7411912",Leganés BP
"Avda. Santo Domingo de la Calzada, nº10 Las Tablas, Madrid, 28050",91 344 63 83,"40.5083293, -3.6786408",Las Tablas Shell
"Centro Comercial Plenilunio C/ Aracne, s/n. Junto a Pol. Ind. Las Mercedes, Madrid, 28022",91 747 73 86,"40.44697439999999, -3.5873416",Plenilunio
"Centro Comercial La Gavia Alto del Retiro, nº 33 Ensanche de Vallecas, Madrid, 28051",91 42 55 383,"40.3684634, -3.5975732",Vallecas La Gavia
"Avda. Logroño 303, Madrid, 28042",91 601 60 47,"40.46943020000001, -3.5816321",Ermita Barajas
"Ctra. Getafe a Leganés, M-406, Km. 10, Getafe, 28905",91 601 90 89,"40.316431, -3.7433973",Getafe Hospital
"C/ Ebanistas, nº 2 c/v Avda. de Leganes, Alcorcón, 28923",910565620,"40.3423906, -3.8059818",Alcorcon Urtinsa
"AEROPUERTO MADRID-BARAJAS, TERMINAL T4, LADO AIRE, LOCAL T1.10, Madrid, 28042",91 333 84 60,"40.490279, -3.5915695",Aeropuerto Barajas (Zona Aire)
"Zona Tierra Terminal T-4 del Aeropuerto de Barajas. Ctra. Nacional A-2, Km.12., Madrid, 28042",91 333 80 18,"40.4923355, -3.5918675",Aeropuerto Barajas Zona Tierra
"Centro Comercial Carrefour Ctra. Madrid-Irún, Km. 14,500 , Alcobendas, 28100",91 662 04 38,"40.5269004, -3.6519666",C.C. Carrefour Ctra. Madrid-Irún
"Avda San Martin de Valdeiglesias 2, Alcorcón, 28922",916429961,"40.355901, -3.846579",Alcorcon Tres Aguas
"Centro Comercial Getafe III Avda. Juan Carlos I, s/n, Getafe, 28905",91 683 98 77,"40.296644, -3.7466821",Getafe
"Av. Primero de Mayo esquina Pablo Iglesias esquina. Alcorcón, Alcorcón, 28922",Unavailable,"40.3289781, -3.8358417",Alcorcon Sur Ensanche
"Avda. San Pablo 51, Coslada, 28823",91 672 50 23,"40.431344, -3.5329288",Coslada
"Ctra. N-III, Km 17.500 Salida Rivas Oeste Urbanizaciones, Rivas-Vaciamadrid, 28529",91 499 16 15,"40.3540688, -3.5502445",Rivas-Vaciamadrid
"Avda. de España, s/n Zona Verde Interland, Majadahonda, 28220",916340402,"40.4701363, -3.8679559",Majadahonda (Avda. de España)
"Pol.Ind. El carralero, parcela 2. C/ La Fresa., Majadahonda, 28220",91 639 70 64,"40.4558078, -3.8733968",C.C Equinoccio
"C/ Camino del Juncal, s/n C/ JH-I parcela C-1 Poligono El Juncal, Alcobendas, 28108",916 590 975,"40.5388765, -3.6235987",Alcobendas El Juncal
"C/ Marqués de la Valdavia, nº 140, Alcobendas, 28100",91 490 13 62,"40.54745640000001, -3.6561848",Alcobendas BP
"Avda. de Europa, S/N - Parcela 29 Alcorcon, Alcorcón, 28921",91 689 01 48,"40.3481751, -3.8510345",Alcorcon Parque Oeste
"C/ Santillana del Mar, nº 2, Boadilla del Monte, 28660",91 632 77 64,"40.4061533, -3.8815855",Boadilla del Monte
"C/ Leganés, nº55, Fuenlabrada, 28945",91 606 77 66,"40.2893921, -3.7918352",Fuenlabrada
"PARQUE COMERCIAL CAMINO REAL. KM 16 DE LA A-2, San Fernando de Henares, 28830",916690606,"40.4478023, -3.5231239",San Fernando de Henares
"Centro Comercial Plaza Norte 2 Nacinal I, Salida 19, San Sebastián de los Reyes, 28700",91 623 83 65,"N, o",C.C. Plaza Norte 2
"C/ Guadalquivir, nº18, Getafe, 28906",91 621 31 45,"40.2958787, -3.6978264",Factory Sur
"C.C. La Fuensanta. Avda. de la Onu, 65 esquina C/ Irún , Móstoles, 28936",916467130,"40.3160208, -3.8503623",Móstoles Fuensanta
"Centro Comercial Loranca Avda. Pablo Iglesias, nº 25 Local 207-208, Fuenlabrada, 28942",916045436,"40.3021821, -3.8322152",Loranca
"CALLE LUIS SAUQUILLO 86, Fuenlabrada, 28944",916069112,"40.2768034, -3.8034901",Fuenlabrada Sauquillo
"C/ Juan de la Cierva, nº 2, Rivas-Vaciamadrid, 28521",91 666 94 77,"40.3371717, -3.5303196",Rivas Futura
"C/ de los Matemáticos, s/n (Junto a C.C. Gran Plaza 2), Majadahonda, 28222",91 504 73 06,"40.4888243, -3.8970778",Majadahonda junto CC Gran Plaza 2
"C/ Camino del Obispo, 6B, Móstoles, 28935",915 93 77 67 / 636 35 98 59,"40.3311487, -3.8846622",Móstoles Estación
"Ctra. de Andalucía N-IV, Km.20,2, Pinto, 28320",91 692 63 05,"40.2375052, -3.6967718",Pinto
"Centro Comercial Pinar Ctra. Nacional VI, Km. 22, Rozas de Madrid (Las), 28232",91 637 36 57,"40.5237637, -3.8838669",Las Rozas
"Centro Comercial Corredor Ctra. De Torrejón a Ajalvir, Torrejón de Ardoz, 28850",91 656 70 17,"40.4760575, -3.4806964",Torrejón
"AVD de las Lagunas 5, Parla, 28980",91 699 19 97,"40.2441618, -3.7777632",Parla Laguna
"Avda. Constitución, 108, Torrejón de Ardoz, 28850",91 656 81 02,"40.458137, -3.4663562",Torrejón II
"Plaza del Toro, s/n, Tres Cantos, 28760",91 804 22 20,"40.6058756, -3.7168441",Tres Cantos
"Ctra. M-100, Km. 0,400, Algete, 28700",91 623 92 31,"40.5828186, -3.5762517",Algete
"Avenida de Madrid, nº 136 N-III, Salida 22, Arganda del Rey, 28500",91.8706784,"40.3122033, -3.4870069",Arganda
"C/ Viario de Ronda, s/n, Parla, 28981",91 698 89 58,"40.2350445, -3.7809625",Parla La Ermita
"C.C. Xanadu Ctra. N-V km. 23,500 margen izquierdo local 118 planta baja 28939, Arroyomolinos, 28939",916482611,"40.2997836, -3.9261897",C.C. Xanadú
"C/ Puerto de Somosierra, s/n Junto a Bricor, Arroyomolinos, 28939",91 648 26 25-626 487 490,"40.2962405, -3.9360192",Arroyomolinos Xanadú
"Centro Comercial Espacio Torrelodones Avda. Fontanilla, s/n, Torrelodones, 28250",91 854 50 53,"40.568605, -3.920509",Torrelodones
"Avenida de España, 4, Valdemoro, 28342",918762560,"40.1929639, -3.6896853",Valdemoro
"Ctra. de Burgos (N-I), Km. 29 A.S. Cepsa Las Pueblas junto a Circuito Jarama, San Sebastián de los Reyes, 28770",916589915,"40.616892, -3.585286",Madrid Jarama
"Parque Comercial El Ventanal de la Sierra, Colmenar Viejo, 28770",918462563,"40.6594907, -3.7544742",Colmenar El Ventanal
"C/ del Cedro, 5, Ciempozuelos, 28350",Unavailable,"40.1660258, -3.6306068",Ciempozuelos
"Plaza de Cervantes, nº 17, Alcalá de Henares, 28801",91 883 42 11,"40.482404, -3.3646648",Alcalá de Henares
"Plaza José de Espronceda, s/n esq. C/ Octavio Paz, Alcalá de Henares, 28806",91 802 17 27,"40.5020342, -3.367357",Alcalá Ensanche
"Centro Comercial La Dehesa Ctra. Nacional II, Km. 34, Alcalá de Henares, 28805",91 881 29 59,"40.5042072, -3.3286002",Alcalá La Dehesa
"C/ Amapolas Esq. Alejandro Gamella, Collado Villalba, 28400",918402045,"40.6406025, -4.007598",Villalba Las Eras
"Avda. Juan Carlos I nº 46, C.C PLANETOCIO., Alpedrete, 28400",91 851 02 80,"40.6380196, -4.0185489",Villalba Planet Ocio
"Calle Rafa Pascual es Av. Siglo XXI, Azuqueca de Henares, 19200",Unavailable,"40.5692736, -3.2707511",Azuqueca Henares
"Paseo del Deleite, 42, Aranjuez, 28300",91 174 71 85,"40.0250831, -3.6161928",Aranjuez
"CALLE FRANCISCO DE ARITIO 90-92, Guadalajara, 19004",949600014,"40.6355375, -3.1903983",Guadalajara Oeste
"Centro Comercial El Ferial Avda. de Eduardo Guitian, nº 13-19, Guadalajara, 19002",949314712,"40.6219609, -3.1655916",Guadalajara El Ferial
"Centro Comercial La Abadia Autovia Madrid-Toledo A-42 Sal.65 Ctra CM403.Dir Bargas, Toledo, 45005",925237388,"39.9048118, -4.0174695",Toledo Norte
"Centro Comercial Luz del Tajo Avda. Río Boladiez, s/n, Toledo, 45007",925 23 17 89,"39.8627487, -3.9760289",Luz del Tajo
"Plaza de Zocodover, nº 13, Toledo, 45001",925252655,"39.859182, -4.0213078",Toledo
"Avenida Padre Claret, 4, Segovia, 40001",921.421.097,"40.9477538, -4.1167861",Segovia Plaza Artillería
